state,state_name,year,elec_price_cents_kwh,commercial_customers,gas_price_per_gallon,level2_ports,dcfast_ports,total_ports,chargers_per_100k,dcfast_share,charger_price_penalty,population,median_income,median_age,pct_drive_alone,pct_bachelors,pct_no_vehicle,ln_median_income,ln_population
DC,District of Columbia,2021,13.0,26783,3.5174262734584447,1701,90,1791,262.16636366031673,0.05025125628140704,20.166643358485903,683154.0,93547.0,34.3,0.35397316543311036,0.18192823287282223,0.028230823503924446,11.44621926277542,13.434475588978945
DC,District of Columbia,2022,15.6,27136,4.612600536193029,1803,90,1893,282.2899936920937,0.04754358161648178,18.095512416159853,670587.0,101722.0,34.8,0.34161841047511343,0.1861950798330418,0.030935583302390292,11.529998881159516,13.415908727201549
DE,Delaware,2018,9.65,54904,3.071045576407507,90,58,148,15.58723321344504,0.3918918918918919,1.6152573278181388,949495.0,65627.0,40.2,0.8922428906650364,0.1272192059989784,0.006528733695280123,11.091742475620011,13.763685543291176
DE,Delaware,2019,9.53,55802,2.896782841823056,102,74,176,18.38603998127967,0.42045454545454547,1.929280165926513,957248.0,68287.0,40.6,0.8926867832683408,0.1301982349401618,0.006500927659289965,11.13147469069291,13.771817780019
DE,Delaware,2020,9.18,56764,2.5026809651474533,158,102,260,26.868414009191067,0.3923076923076923,2.9268424846613366,967679.0,69110.0,41.0,0.8739309667269272,0.13340374235671126,0.006546592413393284,11.14345471708544,13.78265569969319
DE,Delaware,2021,9.48,58353,3.344504021447721,314,150,464,47.25570633022777,0.3232758620689655,4.984779148758203,981892.0,72724.0,41.1,0.8482454288891161,0.1367278682380547,0.006140186497089293,11.194426732839164,13.797236601654998
DE,Delaware,2022,10.98,59162,4.384718498659518,426,182,608,61.18947098280556,0.2993421052631579,5.572811564918539,993635.0,79325.0,41.4,0.8314710982104201,0.1401047668409426,0.006742918677381533,11.281308616451396,13.809125214983784
FL,Florida,2018,9.19,1229559,2.804289544235925,0,0,0,0.0,,0.0,20598139.0,53267.0,41.9,0.8857920004096104,0.1321301404947311,0.007517766532209536,10.8830722814489,16.8407112898731
FL,Florida,2019,9.27,1240902,2.6072386058981234,0,0,0,0.0,,0.0,20901636.0,55660.0,42.0,0.883052006951639,0.13529744752994455,0.007365547845154322,10.927017035079881,16.855337991383475
FL,Florida,2020,8.85,1256569,2.227882037533512,0,0,0,0.0,,0.0,21216924.0,57703.0,42.2,0.8692368934636701,0.13850231070253163,0.0074606950564558745,10.96306444421219,16.870309723055563
FL,Florida,2021,9.51,1272939,3.0683646112600536,0,0,0,0.0,,0.0,21339762.0,61777.0,42.3,0.8508787215745635,0.1423770799318193,0.007554864013947297,11.031286405889189,16.87608265101093
FL,Florida,2022,11.19,1282170,3.954423592493298,0,0,0,0.0,,0.0,21634529.0,67917.0,42.4,0.8309605468487542,0.14579656437170413,0.0077310673137372206,11.126041650398415,16.889801161124506
GA,Georgia,2018,9.79,579468,2.707774798927614,0,0,0,0.0,,0.0,10297484.0,55679.0,36.5,0.8924286826565151,0.12458839460202123,0.005353055173477327,10.927358335076908,16.147410151515977
GA,Georgia,2019,10.02,585573,2.5227882037533513,0,0,0,0.0,,0.0,10403847.0,58700.0,36.7,0.8884974716603632,0.12733760886718154,0.005196154845414394,10.980195005816189,16.157686199560192
GA,Georgia,2020,10.08,592220,2.1219839142091153,0,0,0,0.0,,0.0,10516579.0,61224.0,36.9,0.870280519057634,0.1309656876062073,0.005296494230680909,11.022294548489757,16.168463522274
